name,slottime_GMT,slottype,slotavg,pointTitle
SneeHall.STM.M22-V/AverageMassFlow,2022-04-12 09:00:00,H,523.560225000,Steam
SneeHall.CW.FP/TONS,2022-04-12 10:00:00,H,7.791177500,Chilled Water
SneeHall.Elec.PowerScout3/kWsystem,2022-04-12 10:00:00,H,128.100000000,Electric
SneeHall.Elec.Solar.PowerScout3037/kW_System,2022-04-12 10:00:00,H,0.000000000,Photovoltaic Power Production
SneeHall.STM.M22-V/AverageMassFlow,2022-04-12 10:00:00,H,510.408000000,Steam
SneeHall.CW.FP/TONS,2022-04-12 11:00:00,H,7.031375000,Chilled Water
SneeHall.Elec.PowerScout3/kWsystem,2022-04-12 11:00:00,H,129.975000000,Electric
SneeHall.Elec.Solar.PowerScout3037/kW_System,2022-04-12 11:00:00,H,0.000000000,Photovoltaic Power Production
SneeHall.STM.M22-V/AverageMassFlow,2022-04-12 11:00:00,H,410.306925000,Steam
SneeHall.CW.FP/TONS,2022-04-12 12:00:00,H,8.149730000,Chilled Water
SneeHall.Elec.PowerScout3/kWsystem,2022-04-12 12:00:00,H,128.150000000,Electric
SneeHall.Elec.Solar.PowerScout3037/kW_System,2022-04-12 12:00:00,H,0.125000000,Photovoltaic Power Production
SneeHall.STM.M22-V/AverageMassFlow,2022-04-12 12:00:00,H,446.034625000,Steam
SneeHall.CW.FP/TONS,2022-04-12 13:00:00,H,10.182195000,Chilled Water
SneeHall.Elec.PowerScout3/kWsystem,2022-04-12 13:00:00,H,130.050000000,Electric
SneeHall.Elec.Solar.PowerScout3037/kW_System,2022-04-12 13:00:00,H,0.900000000,Photovoltaic Power Production
SneeHall.STM.M22-V/AverageMassFlow,2022-04-12 13:00:00,H,381.494450000,Steam
SneeHall.CW.FP/TONS,2022-04-12 14:00:00,H,8.147982500,Chilled Water
SneeHall.Elec.PowerScout3/kWsystem,2022-04-12 14:00:00,H,116.450000000,Electric
SneeHall.Elec.Solar.PowerScout3037/kW_System,2022-04-12 14:00:00,H,0.875000000,Photovoltaic Power Production
SneeHall.STM.M22-V/AverageMassFlow,2022-04-12 14:00:00,H,276.832925000,Steam
SneeHall.CW.FP/TONS,2022-04-12 15:00:00,H,8.409735000,Chilled Water
SneeHall.Elec.PowerScout3/kWsystem,2022-04-12 15:00:00,H,119.900000000,Electric
SneeHall.Elec.Solar.PowerScout3037/kW_System,2022-04-12 15:00:00,H,1.925000000,Photovoltaic Power Production
SneeHall.STM.M22-V/AverageMassFlow,2022-04-12 15:00:00,H,274.379025000,Steam
SneeHall.CW.FP/TONS,2022-04-12 16:00:00,H,14.970697500,Chilled Water
SneeHall.Elec.PowerScout3/kWsystem,2022-04-12 16:00:00,H,136.975000000,Electric
SneeHall.Elec.Solar.PowerScout3037/kW_System,2022-04-12 16:00:00,H,1.900000000,Photovoltaic Power Production
SneeHall.STM.M22-V/AverageMassFlow,2022-04-12 16:00:00,H,230.341675000,Steam
SneeHall.CW.FP/TONS,2022-04-12 17:00:00,H,23.680700000,Chilled Water
SneeHall.Elec.PowerScout3/kWsystem,2022-04-12 17:00:00,H,137.250000000,Electric
SneeHall.Elec.Solar.PowerScout3037/kW_System,2022-04-12 17:00:00,H,2.100000000,Photovoltaic Power Production
SneeHall.STM.M22-V/AverageMassFlow,2022-04-12 17:00:00,H,252.537350000,Steam
SneeHall.CW.FP/TONS,2022-04-12 18:00:00,H,32.729875000,Chilled Water
SneeHall.Elec.PowerScout3/kWsystem,2022-04-12 18:00:00,H,141.500000000,Electric
SneeHall.Elec.Solar.PowerScout3037/kW_System,2022-04-12 18:00:00,H,2.000000000,Photovoltaic Power Production
SneeHall.STM.M22-V/AverageMassFlow,2022-04-12 18:00:00,H,265.659700000,Steam
SneeHall.CW.FP/TONS,2022-04-12 19:00:00,H,43.216425000,Chilled Water
SneeHall.Elec.PowerScout3/kWsystem,2022-04-12 19:00:00,H,138.650000000,Electric
SneeHall.Elec.Solar.PowerScout3037/kW_System,2022-04-12 19:00:00,H,2.025000000,Photovoltaic Power Production
SneeHall.STM.M22-V/AverageMassFlow,2022-04-12 19:00:00,H,279.743025000,Steam
SneeHall.CW.FP/TONS,2022-04-12 20:00:00,H,46.009950000,Chilled Water
SneeHall.Elec.PowerScout3/kWsystem,2022-04-12 20:00:00,H,137.375000000,Electric
SneeHall.Elec.Solar.PowerScout3037/kW_System,2022-04-12 20:00:00,H,2.075000000,Photovoltaic Power Production
SneeHall.STM.M22-V/AverageMassFlow,2022-04-12 20:00:00,H,271.896775000,Steam
SneeHall.CW.FP/TONS,2022-04-12 21:00:00,H,51.808650000,Chilled Water
SneeHall.Elec.PowerScout3/kWsystem,2022-04-12 21:00:00,H,133.900000000,Electric
SneeHall.Elec.Solar.PowerScout3037/kW_System,2022-04-12 21:00:00,H,2.000000000,Photovoltaic Power Production
SneeHall.STM.M22-V/AverageMassFlow,2022-04-12 21:00:00,H,313.581550000,Steam
SneeHall.CW.FP/TONS,2022-04-12 22:00:00,H,44.573925000,Chilled Water
SneeHall.Elec.PowerScout3/kWsystem,2022-04-12 22:00:00,H,135.575000000,Electric
SneeHall.Elec.Solar.PowerScout3037/kW_System,2022-04-12 22:00:00,H,0.775000000,Photovoltaic Power Production
SneeHall.STM.M22-V/AverageMassFlow,2022-04-12 22:00:00,H,284.154700000,Steam
SneeHall.CW.FP/TONS,2022-04-12 23:00:00,H,31.446725000,Chilled Water
SneeHall.Elec.PowerScout3/kWsystem,2022-04-12 23:00:00,H,125.525000000,Electric
SneeHall.Elec.Solar.PowerScout3037/kW_System,2022-04-12 23:00:00,H,0.100000000,Photovoltaic Power Production
SneeHall.STM.M22-V/AverageMassFlow,2022-04-12 23:00:00,H,292.661750000,Steam
SneeHall.CW.FP/TONS,2022-04-13 00:00:00,H,22.649087500,Chilled Water
SneeHall.Elec.PowerScout3/kWsystem,2022-04-13 00:00:00,H,127.600000000,Electric
SneeHall.Elec.Solar.PowerScout3037/kW_System,2022-04-13 00:00:00,H,0.000000000,Photovoltaic Power Production
SneeHall.STM.M22-V/AverageMassFlow,2022-04-13 00:00:00,H,338.215200000,Steam
SneeHall.CW.FP/TONS,2022-04-13 01:00:00,H,7.442285000,Chilled Water
SneeHall.Elec.PowerScout3/kWsystem,2022-04-13 01:00:00,H,130.800000000,Electric
SneeHall.Elec.Solar.PowerScout3037/kW_System,2022-04-13 01:00:00,H,0.000000000,Photovoltaic Power Production
SneeHall.STM.M22-V/AverageMassFlow,2022-04-13 01:00:00,H,315.882825000,Steam
SneeHall.CW.FP/TONS,2022-04-13 02:00:00,H,7.626110000,Chilled Water
SneeHall.Elec.PowerScout3/kWsystem,2022-04-13 02:00:00,H,112.825000000,Electric
SneeHall.Elec.Solar.PowerScout3037/kW_System,2022-04-13 02:00:00,H,0.000000000,Photovoltaic Power Production
SneeHall.STM.M22-V/AverageMassFlow,2022-04-13 02:00:00,H,343.126950000,Steam
SneeHall.CW.FP/TONS,2022-04-13 03:00:00,H,4.144525000,Chilled Water
SneeHall.Elec.PowerScout3/kWsystem,2022-04-13 03:00:00,H,108.450000000,Electric
SneeHall.Elec.Solar.PowerScout3037/kW_System,2022-04-13 03:00:00,H,0.000000000,Photovoltaic Power Production
SneeHall.STM.M22-V/AverageMassFlow,2022-04-13 03:00:00,H,277.293050000,Steam
SneeHall.CW.FP/TONS,2022-04-13 04:00:00,H,4.222225000,Chilled Water
SneeHall.Elec.PowerScout3/kWsystem,2022-04-13 04:00:00,H,109.875000000,Electric
SneeHall.Elec.Solar.PowerScout3037/kW_System,2022-04-13 04:00:00,H,0.000000000,Photovoltaic Power Production
SneeHall.STM.M22-V/AverageMassFlow,2022-04-13 04:00:00,H,334.773625000,Steam
SneeHall.CW.FP/TONS,2022-04-13 05:00:00,H,4.037850000,Chilled Water
SneeHall.Elec.PowerScout3/kWsystem,2022-04-13 05:00:00,H,109.150000000,Electric
SneeHall.Elec.Solar.PowerScout3037/kW_System,2022-04-13 05:00:00,H,0.000000000,Photovoltaic Power Production
SneeHall.STM.M22-V/AverageMassFlow,2022-04-13 05:00:00,H,254.570650000,Steam
SneeHall.CW.FP/TONS,2022-04-13 06:00:00,H,4.026690000,Chilled Water
SneeHall.Elec.PowerScout3/kWsystem,2022-04-13 06:00:00,H,105.675000000,Electric
SneeHall.Elec.Solar.PowerScout3037/kW_System,2022-04-13 06:00:00,H,0.000000000,Photovoltaic Power Production
SneeHall.STM.M22-V/AverageMassFlow,2022-04-13 06:00:00,H,327.625325000,Steam
SneeHall.CW.FP/TONS,2022-04-13 07:00:00,H,4.208502500,Chilled Water
SneeHall.Elec.PowerScout3/kWsystem,2022-04-13 07:00:00,H,104.800000000,Electric
SneeHall.Elec.Solar.PowerScout3037/kW_System,2022-04-13 07:00:00,H,0.000000000,Photovoltaic Power Production
SneeHall.STM.M22-V/AverageMassFlow,2022-04-13 07:00:00,H,339.393950000,Steam
SneeHall.CW.FP/TONS,2022-04-13 08:00:00,H,9.424165000,Chilled Water
SneeHall.Elec.PowerScout3/kWsystem,2022-04-13 08:00:00,H,120.975000000,Electric
SneeHall.Elec.Solar.PowerScout3037/kW_System,2022-04-13 08:00:00,H,0.000000000,Photovoltaic Power Production
SneeHall.STM.M22-V/AverageMassFlow,2022-04-13 08:00:00,H,431.353625000,Steam
SneeHall.CW.FP/TONS,2022-04-13 09:00:00,H,4.498735000,Chilled Water
SneeHall.Elec.PowerScout3/kWsystem,2022-04-13 09:00:00,H,124.500000000,Electric
SneeHall.Elec.Solar.PowerScout3037/kW_System,2022-04-13 09:00:00,H,0.000000000,Photovoltaic Power Production
SneeHall.STM.M22-V/AverageMassFlow,2022-04-13 09:00:00,H,512.484375000,Steam
SneeHall.CW.FP/TONS,2022-04-13 10:00:00,H,4.416742500,Chilled Water
SneeHall.Elec.PowerScout3/kWsystem,2022-04-13 10:00:00,H,129.725000000,Electric
SneeHall.Elec.Solar.PowerScout3037/kW_System,2022-04-13 10:00:00,H,0.000000000,Photovoltaic Power Production
SneeHall.STM.M22-V/AverageMassFlow,2022-04-13 10:00:00,H,535.326000000,Steam
SneeHall.CW.FP/TONS,2022-04-13 11:00:00,H,5.724647500,Chilled Water
SneeHall.Elec.PowerScout3/kWsystem,2022-04-13 11:00:00,H,100.500000000,Electric
SneeHall.Elec.Solar.PowerScout3037/kW_System,2022-04-13 11:00:00,H,0.025000000,Photovoltaic Power Production
SneeHall.STM.M22-V/AverageMassFlow,2022-04-13 11:00:00,H,416.159450000,Steam
SneeHall.CW.FP/TONS,2022-04-13 12:00:00,H,8.950000000,Chilled Water
SneeHall.Elec.PowerScout3/kWsystem,2022-04-13 12:00:00,H,123.325000000,Electric
SneeHall.Elec.Solar.PowerScout3037/kW_System,2022-04-13 12:00:00,H,0.325000000,Photovoltaic Power Production
SneeHall.STM.M22-V/AverageMassFlow,2022-04-13 12:00:00,H,347.819375000,Steam
SneeHall.CW.FP/TONS,2022-04-13 13:00:00,H,46.301875000,Chilled Water
SneeHall.Elec.PowerScout3/kWsystem,2022-04-13 13:00:00,H,130.425000000,Electric
SneeHall.Elec.Solar.PowerScout3037/kW_System,2022-04-13 13:00:00,H,0.875000000,Photovoltaic Power Production
SneeHall.STM.M22-V/AverageMassFlow,2022-04-13 13:00:00,H,314.686750000,Steam
SneeHall.CW.FP/TONS,2022-04-13 14:00:00,H,50.922350000,Chilled Water
SneeHall.Elec.PowerScout3/kWsystem,2022-04-13 14:00:00,H,137.150000000,Electric
SneeHall.Elec.Solar.PowerScout3037/kW_System,2022-04-13 14:00:00,H,1.375000000,Photovoltaic Power Production
SneeHall.STM.M22-V/AverageMassFlow,2022-04-13 14:00:00,H,296.435425000,Steam
SneeHall.CW.FP/TONS,2022-04-13 15:00:00,H,64.367975000,Chilled Water
SneeHall.Elec.PowerScout3/kWsystem,2022-04-13 15:00:00,H,144.550000000,Electric
SneeHall.Elec.Solar.PowerScout3037/kW_System,2022-04-13 15:00:00,H,1.050000000,Photovoltaic Power Production
SneeHall.STM.M22-V/AverageMassFlow,2022-04-13 15:00:00,H,296.639175000,Steam
SneeHall.CW.FP/TONS,2022-04-13 16:00:00,H,76.941725000,Chilled Water
SneeHall.Elec.PowerScout3/kWsystem,2022-04-13 16:00:00,H,138.575000000,Electric
SneeHall.Elec.Solar.PowerScout3037/kW_System,2022-04-13 16:00:00,H,1.725000000,Photovoltaic Power Production
SneeHall.STM.M22-V/AverageMassFlow,2022-04-13 16:00:00,H,279.469875000,Steam
SneeHall.CW.FP/TONS,2022-04-13 17:00:00,H,93.230150000,Chilled Water
SneeHall.Elec.PowerScout3/kWsystem,2022-04-13 17:00:00,H,141.750000000,Electric
SneeHall.Elec.Solar.PowerScout3037/kW_System,2022-04-13 17:00:00,H,1.750000000,Photovoltaic Power Production
SneeHall.STM.M22-V/AverageMassFlow,2022-04-13 17:00:00,H,235.762650000,Steam
SneeHall.CW.FP/TONS,2022-04-13 18:00:00,H,85.495100000,Chilled Water
SneeHall.Elec.PowerScout3/kWsystem,2022-04-13 18:00:00,H,143.000000000,Electric
SneeHall.Elec.Solar.PowerScout3037/kW_System,2022-04-13 18:00:00,H,0.275000000,Photovoltaic Power Production
SneeHall.STM.M22-V/AverageMassFlow,2022-04-13 18:00:00,H,217.661950000,Steam
SneeHall.CW.FP/TONS,2022-04-13 19:00:00,H,85.058225000,Chilled Water
SneeHall.Elec.PowerScout3/kWsystem,2022-04-13 19:00:00,H,141.925000000,Electric
SneeHall.Elec.Solar.PowerScout3037/kW_System,2022-04-13 19:00:00,H,0.450000000,Photovoltaic Power Production
SneeHall.STM.M22-V/AverageMassFlow,2022-04-13 19:00:00,H,288.014950000,Steam
SneeHall.CW.FP/TONS,2022-04-13 20:00:00,H,83.034800000,Chilled Water
SneeHall.Elec.PowerScout3/kWsystem,2022-04-13 20:00:00,H,144.875000000,Electric
SneeHall.Elec.Solar.PowerScout3037/kW_System,2022-04-13 20:00:00,H,0.950000000,Photovoltaic Power Production
SneeHall.STM.M22-V/AverageMassFlow,2022-04-13 20:00:00,H,261.807125000,Steam
SneeHall.CW.FP/TONS,2022-04-13 21:00:00,H,82.415700000,Chilled Water
SneeHall.Elec.PowerScout3/kWsystem,2022-04-13 21:00:00,H,140.075000000,Electric
SneeHall.Elec.Solar.PowerScout3037/kW_System,2022-04-13 21:00:00,H,0.200000000,Photovoltaic Power Production
SneeHall.STM.M22-V/AverageMassFlow,2022-04-13 21:00:00,H,255.447325000,Steam
SneeHall.CW.FP/TONS,2022-04-13 22:00:00,H,78.438025000,Chilled Water
SneeHall.Elec.PowerScout3/kWsystem,2022-04-13 22:00:00,H,129.175000000,Electric
SneeHall.Elec.Solar.PowerScout3037/kW_System,2022-04-13 22:00:00,H,0.075000000,Photovoltaic Power Production
SneeHall.STM.M22-V/AverageMassFlow,2022-04-13 22:00:00,H,292.531300000,Steam
SneeHall.CW.FP/TONS,2022-04-13 23:00:00,H,76.131350000,Chilled Water
SneeHall.Elec.PowerScout3/kWsystem,2022-04-13 23:00:00,H,123.925000000,Electric
SneeHall.Elec.Solar.PowerScout3037/kW_System,2022-04-13 23:00:00,H,0.000000000,Photovoltaic Power Production
SneeHall.STM.M22-V/AverageMassFlow,2022-04-13 23:00:00,H,282.596450000,Steam
SneeHall.CW.FP/TONS,2022-04-14 00:00:00,H,69.341825000,Chilled Water
SneeHall.Elec.PowerScout3/kWsystem,2022-04-14 00:00:00,H,132.050000000,Electric
SneeHall.Elec.Solar.PowerScout3037/kW_System,2022-04-14 00:00:00,H,0.000000000,Photovoltaic Power Production
SneeHall.STM.M22-V/AverageMassFlow,2022-04-14 00:00:00,H,316.693100000,Steam
SneeHall.CW.FP/TONS,2022-04-14 01:00:00,H,69.220575000,Chilled Water
SneeHall.Elec.PowerScout3/kWsystem,2022-04-14 01:00:00,H,131.275000000,Electric
SneeHall.Elec.Solar.PowerScout3037/kW_System,2022-04-14 01:00:00,H,0.000000000,Photovoltaic Power Production
SneeHall.STM.M22-V/AverageMassFlow,2022-04-14 01:00:00,H,298.435950000,Steam
SneeHall.CW.FP/TONS,2022-04-14 02:00:00,H,60.011050000,Chilled Water
SneeHall.Elec.PowerScout3/kWsystem,2022-04-14 02:00:00,H,119.800000000,Electric
SneeHall.Elec.Solar.PowerScout3037/kW_System,2022-04-14 02:00:00,H,0.000000000,Photovoltaic Power Production
SneeHall.STM.M22-V/AverageMassFlow,2022-04-14 02:00:00,H,301.635800000,Steam
SneeHall.CW.FP/TONS,2022-04-14 03:00:00,H,56.191500000,Chilled Water
SneeHall.Elec.PowerScout3/kWsystem,2022-04-14 03:00:00,H,112.500000000,Electric
SneeHall.Elec.Solar.PowerScout3037/kW_System,2022-04-14 03:00:00,H,0.000000000,Photovoltaic Power Production
SneeHall.STM.M22-V/AverageMassFlow,2022-04-14 03:00:00,H,302.254250000,Steam
SneeHall.CW.FP/TONS,2022-04-14 04:00:00,H,49.332800000,Chilled Water
SneeHall.Elec.PowerScout3/kWsystem,2022-04-14 04:00:00,H,108.025000000,Electric
SneeHall.Elec.Solar.PowerScout3037/kW_System,2022-04-14 04:00:00,H,0.000000000,Photovoltaic Power Production
SneeHall.STM.M22-V/AverageMassFlow,2022-04-14 04:00:00,H,269.777675000,Steam
SneeHall.CW.FP/TONS,2022-04-14 05:00:00,H,42.002025000,Chilled Water
SneeHall.Elec.PowerScout3/kWsystem,2022-04-14 05:00:00,H,103.600000000,Electric
SneeHall.Elec.Solar.PowerScout3037/kW_System,2022-04-14 05:00:00,H,0.000000000,Photovoltaic Power Production
SneeHall.STM.M22-V/AverageMassFlow,2022-04-14 05:00:00,H,251.655150000,Steam
SneeHall.CW.FP/TONS,2022-04-14 06:00:00,H,43.743625000,Chilled Water
SneeHall.Elec.PowerScout3/kWsystem,2022-04-14 06:00:00,H,102.400000000,Electric
SneeHall.Elec.Solar.PowerScout3037/kW_System,2022-04-14 06:00:00,H,0.000000000,Photovoltaic Power Production
SneeHall.STM.M22-V/AverageMassFlow,2022-04-14 06:00:00,H,234.842525000,Steam
SneeHall.CW.FP/TONS,2022-04-14 07:00:00,H,49.519300000,Chilled Water
SneeHall.Elec.PowerScout3/kWsystem,2022-04-14 07:00:00,H,106.100000000,Electric
SneeHall.Elec.Solar.PowerScout3037/kW_System,2022-04-14 07:00:00,H,0.000000000,Photovoltaic Power Production
SneeHall.STM.M22-V/AverageMassFlow,2022-04-14 07:00:00,H,264.618475000,Steam
SneeHall.CW.FP/TONS,2022-04-14 08:00:00,H,51.201450000,Chilled Water
SneeHall.Elec.PowerScout3/kWsystem,2022-04-14 08:00:00,H,121.350000000,Electric
SneeHall.Elec.Solar.PowerScout3037/kW_System,2022-04-14 08:00:00,H,0.000000000,Photovoltaic Power Production
SneeHall.STM.M22-V/AverageMassFlow,2022-04-14 08:00:00,H,287.092050000,Steam
SneeHall.CW.FP/TONS,2022-04-14 09:00:00,H,49.030675000,Chilled Water
SneeHall.Elec.PowerScout3/kWsystem,2022-04-14 09:00:00,H,127.950000000,Electric
SneeHall.Elec.Solar.PowerScout3037/kW_System,2022-04-14 09:00:00,H,0.000000000,Photovoltaic Power Production
SneeHall.STM.M22-V/AverageMassFlow,2022-04-14 09:00:00,H,383.569150000,Steam
SneeHall.CW.FP/TONS,2022-04-14 10:00:00,H,46.364075000,Chilled Water
SneeHall.Elec.PowerScout3/kWsystem,2022-04-14 10:00:00,H,124.950000000,Electric
SneeHall.Elec.Solar.PowerScout3037/kW_System,2022-04-14 10:00:00,H,0.000000000,Photovoltaic Power Production
SneeHall.STM.M22-V/AverageMassFlow,2022-04-14 10:00:00,H,418.238375000,Steam
SneeHall.CW.FP/TONS,2022-04-14 11:00:00,H,44.472275000,Chilled Water
SneeHall.Elec.PowerScout3/kWsystem,2022-04-14 11:00:00,H,123.375000000,Electric
SneeHall.Elec.Solar.PowerScout3037/kW_System,2022-04-14 11:00:00,H,0.050000000,Photovoltaic Power Production
SneeHall.STM.M22-V/AverageMassFlow,2022-04-14 11:00:00,H,359.187100000,Steam
SneeHall.CW.FP/TONS,2022-04-14 12:00:00,H,71.380875000,Chilled Water
SneeHall.Elec.PowerScout3/kWsystem,2022-04-14 12:00:00,H,128.275000000,Electric
SneeHall.Elec.Solar.PowerScout3037/kW_System,2022-04-14 12:00:00,H,0.550000000,Photovoltaic Power Production
SneeHall.STM.M22-V/AverageMassFlow,2022-04-14 12:00:00,H,296.051175000,Steam
SneeHall.CW.FP/TONS,2022-04-14 13:00:00,H,78.851175000,Chilled Water
SneeHall.Elec.PowerScout3/kWsystem,2022-04-14 13:00:00,H,128.000000000,Electric
SneeHall.Elec.Solar.PowerScout3037/kW_System,2022-04-14 13:00:00,H,1.100000000,Photovoltaic Power Production
SneeHall.STM.M22-V/AverageMassFlow,2022-04-14 13:00:00,H,300.466550000,Steam
SneeHall.CW.FP/TONS,2022-04-14 14:00:00,H,75.463375000,Chilled Water
SneeHall.Elec.PowerScout3/kWsystem,2022-04-14 14:00:00,H,133.475000000,Electric
SneeHall.Elec.Solar.PowerScout3037/kW_System,2022-04-14 14:00:00,H,1.575000000,Photovoltaic Power Production
SneeHall.STM.M22-V/AverageMassFlow,2022-04-14 14:00:00,H,294.528975000,Steam
SneeHall.CW.FP/TONS,2022-04-14 15:00:00,H,76.669625000,Chilled Water
SneeHall.Elec.PowerScout3/kWsystem,2022-04-14 15:00:00,H,134.300000000,Electric
SneeHall.Elec.Solar.PowerScout3037/kW_System,2022-04-14 15:00:00,H,1.025000000,Photovoltaic Power Production
SneeHall.STM.M22-V/AverageMassFlow,2022-04-14 15:00:00,H,258.835850000,Steam
SneeHall.CW.FP/TONS,2022-04-14 16:00:00,H,80.649550000,Chilled Water
SneeHall.Elec.PowerScout3/kWsystem,2022-04-14 16:00:00,H,140.725000000,Electric
SneeHall.Elec.Solar.PowerScout3037/kW_System,2022-04-14 16:00:00,H,0.150000000,Photovoltaic Power Production
SneeHall.STM.M22-V/AverageMassFlow,2022-04-14 16:00:00,H,280.319825000,Steam
SneeHall.CW.FP/TONS,2022-04-14 17:00:00,H,38.552000000,Chilled Water
SneeHall.Elec.PowerScout3/kWsystem,2022-04-14 17:00:00,H,140.550000000,Electric
SneeHall.Elec.Solar.PowerScout3037/kW_System,2022-04-14 17:00:00,H,0.125000000,Photovoltaic Power Production
SneeHall.STM.M22-V/AverageMassFlow,2022-04-14 17:00:00,H,299.255475000,Steam
SneeHall.CW.FP/TONS,2022-04-14 18:00:00,H,9.661052500,Chilled Water
SneeHall.Elec.PowerScout3/kWsystem,2022-04-14 18:00:00,H,145.575000000,Electric
SneeHall.Elec.Solar.PowerScout3037/kW_System,2022-04-14 18:00:00,H,0.175000000,Photovoltaic Power Production
SneeHall.STM.M22-V/AverageMassFlow,2022-04-14 18:00:00,H,339.238400000,Steam
SneeHall.CW.FP/TONS,2022-04-14 19:00:00,H,7.728535000,Chilled Water
SneeHall.Elec.PowerScout3/kWsystem,2022-04-14 19:00:00,H,142.725000000,Electric
